#{"t_start": 1670620719.026545, "env_id": null}
r,l,t,num_scen
2.1518917,5,3.439076,420
2.1186936,6,8.376897,945
2.1695771,4,10.252021,168
3.0008152,6,13.752254,864
1.7983601,6,17.502501,900
2.1876864,4,19.11199,120
2.1208036,6,23.846673,1152
2.149924,4,25.237389,105
1.8542262,5,28.987651,840
2.1560369,5,33.675449,1029
1.8636534,6,38.75391,945
1.8489429,6,44.019884,1080
2.120309,6,49.193343,1134
1.8915107,4,50.586291,126
1.903415,4,53.695856,210
2.1314619,5,57.211716,560
2.412366,4,58.680568,126
2.1945717,4,60.727584,140
1.8922039,4,62.165168,120
2.1545517,5,64.430943,270
1.9121587,4,67.509271,294
2.2676911,4,69.275012,105
1.8450949,6,73.447172,960
1.869101,6,78.306864,1080
2.1028018,6,82.744657,1080
2.1825078,6,86.526157,972
1.8288571,5,90.542054,882
1.8790956,5,93.479743,504
1.7643112,5,98.776971,1176
2.1073117,5,103.93356,900
2.1311665,5,106.7775,560
1.961092,4,109.949585,245
1.8092995,5,113.217075,700
2.134108,5,116.014137,420
1.8743721,6,121.248857,1080
1.9166658,6,126.249188,972
2.1147947,5,131.015143,1008
2.1545758,4,132.687116,140
2.1896646,4,135.499803,245
2.0792933,6,139.37506,720
1.9141313,4,141.750216,105
1.9889642,4,143.375324,126
1.8451068,6,147.359963,1080
2.130331,5,151.078978,720
2.2025027,4,152.641564,168
1.8598919,6,157.470008,1152
1.9910883,4,160.532714,147
2.204277,5,162.954747,420
2.1136832,5,167.548801,784
1.8617762,6,171.394342,1008
1.6889681,6,175.847751,1080
2.2465198,5,177.738499,400
1.8352953,4,179.238598,245
1.8563942,5,180.910596,180
1.8966918,6,185.56715,1008
2.161747,5,188.598594,448
2.077602,5,191.567541,480
2.1928523,4,193.270792,120
2.1208532,5,197.411678,756
1.9019493,6,201.991201,1125
2.1692846,4,203.335039,105
1.908507,4,204.60074,112
1.8680761,6,208.710392,1080
2.1781342,5,211.366814,504
1.8927567,4,214.038981,126
1.8942242,5,216.429649,480
1.9073648,4,218.242271,150
1.8972093,4,219.757996,140
1.9663942,4,221.008078,105
1.8685836,5,226.789711,1008
1.9022573,4,228.586706,126
1.9328887,4,230.180561,105
1.9282118,4,232.463606,112
1.9215088,4,234.760648,175
2.0560174,6,239.635958,945
2.1677895,4,242.651789,294
1.9032558,4,243.995813,126
2.1308725,6,248.16777,1008
2.1788962,4,250.917952,252
1.8930376,4,252.683695,150
2.122734,5,255.715158,700
1.9099653,5,258.824726,336
2.1663895,4,260.340452,105
1.9272941,4,261.559283,112
1.7768377,6,265.247026,945
2.0949721,5,269.80983,1008
1.8980079,4,272.560022,252
2.1072237,6,278.076004,1134
2.0653737,5,280.638674,500
1.9394305,4,282.170194,120
1.7346275,6,285.96715,1008
2.1268463,5,290.390829,735
1.9562864,6,297.047553,1134
2.3192542,4,299.172693,105
2.1899765,4,300.954067,120
1.8675721,6,305.469984,900
2.1799366,5,308.095159,525
1.8685263,6,313.392397,1008
1.858713,6,317.408278,810
2.1260912,6,321.736688,972
1.9302413,4,323.627439,126
1.9056277,6,328.627769,945
2.1366997,5,332.25301,630
1.8373522,6,336.2689,960
2.1144605,6,340.206661,945
1.9211435,4,341.816144,147
1.8586156,6,345.300757,720
2.1872413,4,347.332134,140
1.8675648,6,352.740345,1080
2.1818025,4,354.536302,175
2.1444042,6,358.192981,960
2.2058086,4,359.974586,147
1.8933603,5,363.333929,720
1.8043581,5,366.974789,630
2.1186843,6,371.584469,945
1.8373241,5,375.709743,1080
1.9027601,4,377.053584,105
2.1429555,5,380.038154,560
1.9481056,5,381.647639,135
1.8743588,6,386.585477,756
1.8764131,5,390.570104,900
3.2093358,6,394.804759,972
2.1111581,6,398.805024,972
1.8927022,5,402.320882,600
2.1501367,5,405.383586,450
1.8840114,6,409.586988,1008
1.8319231,6,413.932866,960
2.120628,6,418.980075,1008
2.1674094,6,423.542877,756
2.114655,6,427.621272,1008
2.212086,4,429.605781,175
2.101504,5,434.074828,1050
2.169451,5,435.887448,300
2.1025083,5,440.637761,980
1.859227,5,443.91923,840
2.1631336,5,447.606975,378
1.9113724,5,451.702304,720
1.7850962,5,455.155659,756
4.3126917,6,459.655956,1134
2.1371634,5,464.281265,735
2.1559236,5,465.921998,135
2.1451821,6,470.234782,1134
1.8873516,4,471.642761,120
1.710901,5,475.424264,756
2.1918974,4,477.143138,140
2.1695719,4,478.815305,252
2.0729897,6,483.049768,1080
2.0033004,5,486.909398,784
2.1311092,6,491.08155,864
2.1344275,5,494.19113,576
1.8463168,6,498.457041,945
2.1342924,6,503.222979,1080
2.1306188,6,506.723216,810
2.160304,5,508.801492,270
1.9497631,4,510.301574,126
2.1084163,5,515.176897,882
1.7372347,5,517.302039,450
1.9006634,4,518.989668,105
1.7785982,5,523.975313,630
1.9070771,6,527.459929,720
1.9022359,6,533.258801,945
1.7675636,5,535.055803,216
2.1964257,4,536.64965,120
2.2157717,4,539.04045,147
1.7548951,5,541.524972,450
1.9239281,4,542.931316,120
2.092074,5,548.009778,1050
1.8607159,5,550.384935,324
1.9241065,6,554.97899,945
2.1795073,4,557.088518,112
1.8645619,6,561.651306,1080
1.8125762,5,565.010906,735
2.1339672,6,569.683089,1152
2.1303322,5,572.823923,576
2.2225838,4,574.824069,105
2.2060993,4,577.371099,168
2.1340706,6,580.996352,756
2.1152365,5,583.980912,720
1.8968316,4,586.106052,210
1.84898,5,590.811073,1176
1.9009647,6,595.045728,945
2.1139174,5,596.983361,216
2.130435,6,600.186696,675
1.8693658,6,604.751116,945
1.8525733,6,609.907695,1080
1.8469026,5,613.939213,1008
2.1973221,4,615.376808,120
2.1125562,5,622.033501,1176
1.8498847,6,626.221277,1125
2.1148264,5,630.549701,840
1.9301386,5,633.409356,288
2.1224773,5,637.378266,840
1.7820256,4,638.643988,120
1.9309653,5,641.097265,378
2.2657025,4,643.488049,210
1.8984544,4,645.05065,105
1.9025697,5,648.629012,360
1.9359059,4,651.333978,126
2.1078157,6,655.661307,1008
2.110959,6,661.786707,1134
2.1716692,5,664.47526,216
2.1089554,6,668.803672,960
1.7699012,5,670.772552,270
2.113395,5,674.038394,525
2.0940287,5,676.554185,378
2.1256843,5,679.366871,700
1.8880703,4,681.507639,168
1.8750503,5,683.539025,240
1.7575328,4,684.726603,112
2.1274772,5,688.023695,630
2.5118587,4,690.322123,126
1.9793766,6,695.291198,1080
2.214463,4,697.885129,105
1.8520044,5,700.667819,600
1.9130998,5,704.793079,504
2.148299,5,707.12328,360
1.8660717,6,710.812568,1008
1.9440007,6,714.187791,720
2.1601937,5,717.641151,672
2.1737957,4,719.141247,180
2.1106248,6,725.047898,1134
2.1992319,4,726.516745,108
1.8935999,4,728.173105,168
2.1006289,6,732.939033,1080
2.2239323,4,734.517262,108
2.1294708,5,737.751866,672
1.8476067,5,744.627309,882
1.8616935,4,746.299311,168
2.1765351,4,749.268241,245
2.0985065,5,754.799858,1176
1.838754,5,759.003261,1176
2.1804395,4,760.675248,175
2.190035,4,762.050355,140
2.2327256,4,763.487947,120
2.2078953,4,765.738082,175
1.961822,6,770.222757,1080
2.1160684,5,774.348588,1080
1.830708,5,778.645876,504
2.091309,6,783.083544,1134
2.195516,5,785.959548,400
2.0848527,6,789.787927,945
1.8603656,6,794.225721,1080
1.8558298,5,798.194736,630
1.8974746,6,801.898106,756
1.8948653,6,806.554663,945
1.8743981,6,810.976833,810
1.8866181,4,812.414612,140
1.880719,6,815.555267,675
1.8853573,6,820.414959,945
2.2013988,4,822.008814,120
1.8966612,4,823.649547,120
1.916718,6,828.64988,1008
2.1990898,4,830.714388,105
2.2130525,4,832.308244,112
1.9243504,5,834.167755,216
2.1633744,4,835.667842,147
2.1706078,5,837.824235,420
2.085716,6,840.277536,405
2.1565964,5,843.856078,540
2.1129444,6,849.262494,1080
